NSP1ab,1AB
Non-structural protein,1AB
OFR1ab,1AB
ORF 1ab,1AB
ORF1,1B
ORF1B,1B
ORF1ab,1AB
ORF1ab polyprotein,1AB
ORF1b,1B
ORF1b protein,1B
ORF1b; translated by ribosomal frameshift,1B
Orf1ab,1AB
Orf1b,1B
Polyprotein 1ab,1AB
RNA dependent RNA Polymerase,1B
RNA dependent RNA polymerase,1B
RNA polymerase,1B
RNA-dependant RNA polymerase,1B
RNA-dependent RNA polymerase,1B
RNA-dependent RNA polymerase gene,1B
RNA-dependent RNA polymerase motif,1B
RNA-dependent RNA-polymerase,1B
RNA-dependent polymerase,1B
RdRp,1B
non-structural polyprotein,1AB
non-structural polyprotein 1AB,1AB
non-structural polyprotein 1ab,1AB
non-structural protein,1B
non-structural protein 1ab,1AB
non-structure polyprotein,1B
non-structure protein,1B
nonstructural polyprotein,1B
nonstructural polyprotein 1ab,1AB
nonstructural protein,1B
nonstructural protein 1ab,1AB
nonstructural protein RdRp,1B
nonstructural protein nsp1ab,1AB
nonstructural protein, putative RNA-dependant RNA polymerase,1B
nsp1ab,1AB
orf1ab polyprotein,1AB
orf1ab polyprotein (orf1ab),1AB
orf1b,1B
pol,1B
polyprotein,1AB
polyprotein 1AB,1AB
polyprotein 1ab,1AB
putative RNA-dependent RNA polymerase,1B
putative RNA-dependent polymerase,1B
1B,1B